Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
199,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,07-May-17
200,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,06-May-17
201,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,04-May-20
202,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,03-May-19
203,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,03-May-17
204,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,02-May-17
205,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,01-May-18
206,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,01-May-17
207,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,31-Jan-14
208,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,30-Apr-18
209,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,30-Apr-16
210,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,30-Apr-15
211,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,30-Apr-14
212,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,30-Apr-13
213,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,29-Apr-18
214,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,29-Apr-17
215,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,29-Apr-16
216,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,29-Apr-15
217,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,29-Apr-14
218,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,29-Apr-13
219,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,28-Apr-18
220,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,28-Apr-17
221,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,28-Apr-16
222,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,28-Apr-15
223,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,28-Apr-14
224,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,28-Apr-13
225,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,27-May-14
226,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,27-Apr-20
227,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,27-Apr-18
228,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,27-Apr-17
229,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,27-Apr-16
230,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,27-Apr-15
231,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,27-Apr-14
232,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,27-Apr-13
233,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,26-May-15
234,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,26-May-14
235,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,26-Apr-20
236,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,26-Apr-18
237,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,26-Apr-17
238,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,26-Apr-16
239,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,26-Apr-15
240,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,26-Apr-14
241,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,26-Apr-13
242,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,25-May-14
243,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,25-Apr-20
244,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,25-Apr-19
245,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,25-Apr-18
246,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,25-Apr-17
247,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,25-Apr-16
248,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,25-Apr-15
249,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,25-Apr-14
250,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,25-Apr-13
251,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,24-May-16
252,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,24-May-14
253,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1100,1000,24-Mar-14
254,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,24-Apr-20
255,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,24-Apr-18
256,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,24-Apr-17
257,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,24-Apr-15
258,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,24-Apr-14
259,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,24-Apr-13
260,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,23-May-14
261,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,23-Apr-20
262,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,23-Apr-18
263,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,23-Apr-17
264,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,23-Apr-13
265,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,23-Apr-15
266,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,23-Apr-14
267,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,23-Apr-13
268,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,22-May-16
269,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,22-May-15
270,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,22-May-14
271,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,22-Apr-20
